Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
TURTLE MOUNTAIN 8,MANITOBA,5012943,3559,,,49.2,-100.3,491200000,-1001800000,533.1,1978,1980,,,1978,1980,1978,1980
VIRDEN,MANITOBA,5012960,3560,,,49.83,-100.95,495000000,-1005700000,445.4,1890,2005,,,1890,2005,1890,2005
VIRDEN WATER,MANITOBA,5012961,47367,,,49.84,-100.93,495029500,-1005603700,439.5,2008,2024,,,2008,2024,,
VIRDEN SCARTH,MANITOBA,5012965,3561,,,49.73,-100.97,494400000,-1005800000,442,1961,1976,,,1961,1976,1961,1976
WASAGAMING,MANITOBA,5013117,3562,71444,WWP,50.66,-99.94,503918006,-995631008,627.4,1966,2024,1994,2024,1966,2024,1966,2007
WASKADA,MANITOBA,5013119,3563,,,49.1,-100.8,490600000,-1004800000,470.9,1986,1989,,,1986,1989,1986,1988
WASKADA,MANITOBA,5013120,3564,,,49.03,-100.75,490200000,-1004500000,469.4,1924,1987,,,1924,1987,1924,1987
WAWANESA,MANITOBA,5013125,3565,,,49.6,-99.68,493600000,-994100000,342.9,1979,1980,,,1979,1980,1979,1980
WAWANESA EAST,MANITOBA,5013130,3566,,,49.58,-99.6,493500000,-993600000,373.4,1984,1985,,,1984,1985,1984,1985
MELITA,MANITOBA,501A7AR,10185,71447,WEI,49.28,-100.99,491652600,-1005910900,445.9,1992,2024,1994,2024,1992,2024,1996,2007
ROBLIN FRIESEN 3 NORTHWEST,MANITOBA,501B4G2,6879,,,51.27,-101.4,511600000,-1012400000,556.4,1991,2024,,,1991,2024,1991,2007
RIVERS PETTAPIECE,MANITOBA,501BMMA,3457,,,50.11,-100.18,500629400,-1001044500,487.5,1987,2024,,,1987,2024,1987,2007
OAK LAKE,MANITOBA,501K051,3459,,,49.77,-100.63,494600000,-1003800000,431,1979,1995,,,1979,1995,1979,1995
ROSSBURN 4 NORTH,MANITOBA,501KE01,3458,,,50.75,-100.82,504500000,-1004900000,609.6,1986,2024,,,1986,2024,1986,2007
ALMASIPPI,MANITOBA,5020036,3571,,,49.55,-98.2,493300000,-981200000,274.3,1902,1925,,,1902,1925,1902,1925
ALTONA,MANITOBA,5020040,3572,,,49.1,-97.55,490600000,-973300000,247.8,1948,2008,,,1948,2008,1948,2007
ALTONA CFAM,MANITOBA,5020050,3573,,,49.1,-97.55,490600000,-973300000,247.5,1959,1968,,,1959,1968,1959,1968
ALTONA SOUTH,MANITOBA,5020054,3574,,,49.05,-97.57,490300000,-973400000,249.9,1984,1989,,,1984,1989,1984,1989
ANOLA,MANITOBA,5020069,3575,,,49.88,-96.65,495300000,-963900000,255.1,1986,1987,,,1986,1987,1986,1987
BIRDS HILL NURSERY,MANITOBA,5020222,3576,,,49.98,-96.83,495900000,-965000000,256,1969,1969,,,1969,1969,1969,1969
BIRDS HILL PINE RIDGE,MANITOBA,5020224,3577,,,49.98,-96.93,495900000,-965600000,238.4,1988,1992,,,1988,1992,1988,1992
BOISSEVAIN,MANITOBA,5020320,3578,,,49.23,-100.05,491400000,-1000300000,510.5,1912,1981,,,1912,1981,1912,1981
